department,level,full_name,description,raw_precoreqs,offer_frequency,cross_listed,credit_hours,short_name,prerequisites,corequisites
CHEM,4030,Experimental Chemistry III Abridged: Physical Methods,Laboratory exploration of physical methods used to characterize the structure and properties of compounds. Involves the experiments in CHEM-4020 that do not depend on the theoretical material of CHEM-4010. Students can not get credit for both this course and CHEM-4020.,CHEM 4410,Fall term annually,,2,CHEM-4030,['CHEM-4410'],[]
CHEM,4110,Instrumental Methods of Analysis,"This course will introduce advanced instrumental physicochemical methods of chemical analysis as well as instrument design and data capture/processing. Topics covered include atomic and molecular spectroscopy, chromatography, electroaanalytical chemistry and measurement basics. Chemistry majors should register for CHEM 4120 concurrently.",Prerequisites: CHEM 2110 and CHEM 2120 or permission of the instructor.,Fall term annually.,,3,CHEM-4110,"['CHEM-2110', 'CHEM-2120']",[]
CHEM,4120,Experimental Chemistry IV: Physical and Instrumental Methods,"A laboratory course emphasizing the hands-on use of modern instrumental methods in analytical and physical chemistry applications, and the interpretation and discussion of the results obtained from them. This is a communication-intensive course.","Experiments depend on the theoretical material in CHEM 4110 and CHEM 4420, which are corequisites.",Spring term annually.,,3,CHEM-4120,[],"['CHEM-4110', 'CHEM-4420']"
CHEM,4130,Mass Spectrometry,"Survey of modern techniques in and associated with mass spectrometry, including historical perspectives, strengths/weaknesses, detection/quantification of analytes, ionization source/mass analyzer design, and construction of associated technologies including vacuum systems, ion detection, and ion optics. Ion formation processes will also be discussed. Students cannot get credit for both CHEM 4130 and CHEM 6130.",Prerequisites include PHYS 1200 Physics II (or equivalent) and MATH 1020 Calculus II (or equivalent).,Fall term upon sufficient demand.,,3,CHEM-4130,"['PHYS-1200', 'MATH-1020']",[]
CHEM,4140,NMR Spectroscopy for Scientists and Engineers,"This course will review modern techniques of multi-dimensional NMR spectroscopy, including the history of magnetic resonance, principles of NMR, 13C and 1H NMR, multinuclear NMR, 2D homonuclear and heteronuclear methods, nuclear Overhauser effect, relaxation, structure elucidation, solid-state NMR and the nuts and bolts of NMR spectrometers and probes. This course is intended for graduate and upper-level undergraduate students in the School of Science and Engineering. Students cannot get credit for both this course and CHEM 6140.",,Spring term annually.,,3,CHEM-4140,[],[]
CHEM,4200,Industrial Chemistry,"This course is designed for students in chemistry and chemical engineering to provide an understanding of the economics and various driving forces for large scale production of chemicals.  Students will learn about processes from the refining of raw materials to the manufacturing of common chemicals, polymers, metallurgy, and some pharmaceuticals.  In addition, students will be exposed to the patenting process, environmental and safety regulations, project management, ISO9000 and other quality management methodologies.",CHEM 2250,Spring term annually,,3,CHEM-4200,['CHEM-2250'],[]
CHEM,4300,Medicinal Chemistry,"Organic and medicinal chemistry play a crucial role in the discovery of agents used to treat human disease. The basis of this course is the study of the drug discovery process from the perspective of these chemical disciplines. Concepts to be studied are molecular targeted drug discovery, lead compound identification and optimization, biophysical and molecular modeling tools, biological barriers to drug action and ways chemistry can overcome them, and the biotech industry. Topics pertinent to drug development such as drug metabolism and clinical research will also be discussed.",Prerequisite: CHEM 2260 or permission of instructor.,,,4,CHEM-4300,['CHEM-2260'],[]
CHEM,4310,Bioorganic Mechanisms,"The study of mechanisms of organic reactions in biochemical processes on a molecular level. Enzyme active sites, mechanisms of enzymatic transformations, catalysis, cofactors, enzyme kinetics, environmental toxicology. Strong emphasis on the design and mechanism of action of pharmaceutical agents. Meets with CHEM 6310; both courses cannot be taken for credit.",Prerequisite: CHEM 2260 or permission of instructor.,Fall term annually.,,4,CHEM-4310,['CHEM-2260'],[]
CHEM,4330,Drug Discovery,"This course will examine how bioinformatics, functional genomics, and other modern biotechnologies are used to speed the discovery of new drugs, especially those small organic molecules to treat human diseases with large unmet therapeutic need. Special emphasis will be placed on molecular target identification and validation as well as high-throughput screening to identify a lead. Topics to be discussed will include transgenic mice, RNA interference, DNA and protein microarrays, homogenous time-resolved fluorescence bioassays, phage-display, combinatorial chemistry, and parallel synthesis. Students cannot receive credit for both this course and CHEM 6330.",Prerequisite: CHEM 2260 or permission of instructor.,Fall term annually.,,3,CHEM-4330,['CHEM-2260'],[]
CHEM,4410,Macroscopic Physical Chemistry,"A course dealing with physicochemical properties of substances on a macroscopic scale. Chemical thermodynamics, electrochemistry, electric and magnetic phenomena, transport properties, and surface and colloid chemistry.",Prerequisite: MATH 2400.,Fall and summer terms annually.,,3,CHEM-4410,['MATH-2400'],[]
